,geoid,name,latitude,longitude,area,whole,not.hispanic,white,white.perc,black,black.perc,indian,indian.perc,asian,asian.perc,hispanic,hispanic.perc,educated,perc,vegan,number
1,86000US90001,90001,33.9698,-118.2468,Florence Graham,57227,5499,353,0.006168417,4872,0.085134639,18,0.000314537,88,0.001537736,51728,0.903908994,1396,0.044210793,1,3
2,86000US90002,90002,33.9511,-118.2497,Hacienda Village,50626,12577,395,0.007802315,11597,0.229072018,238,0.004701142,142,0.002804883,38049,0.751570339,1167,0.043939907,0,0
3,86000US90003,90003,33.9658,-118.2731,South,69502,16699,364,0.005237259,15699,0.225878392,139,0.001999942,197,0.002834451,52803,0.759733533,2119,0.057040566,0,0
4,86000US90004,90004,34.0749,-118.3082,Oakwood,64008,31318,10755,0.168025872,2228,0.034808149,95,0.001484189,16332,0.255155606,32690,0.51071741,15298,0.340826557,1,1
5,86000US90005,90005,34.0579,-118.3097,Koreatown,38979,19035,3218,0.082557274,1889,0.048461992,98,0.002514174,13066,0.335206137,19944,0.511660125,7475,0.271502252,0,0
6,86000US90006,90006,34.0471,-118.2965,El Salvador,61625,15990,2377,0.038572008,1781,0.028900609,44,0.000713996,11028,0.178953347,45635,0.740527383,6247,0.153662616,0,0
7,86000US90007,90007,34.0295,-118.2848,USC,43426,21276,7362,0.169529775,4360,0.100400682,22,0.000506609,8597,0.197968959,22150,0.510063096,4708,0.230535697,1,10
8,86000US90008,90008,34.0083,-118.3491,Baldwin,31837,24413,835,0.026227346,21320,0.669661086,96,0.003015359,1167,0.036655464,7424,0.2331878,6410,0.277405115,1,1
9,86000US90010,90010,33.9455,-118.3844,Koreatown,3740,3380,497,0.132887701,150,0.040106952,12,0.003208556,2699,0.721657754,360,0.096256684,1388,0.455231223,0,0
10,86000US90011,90011,34.0079,-118.2585,Central Alamedra,104058,10538,638,0.006131196,8602,0.082665437,74,0.000711142,633,0.006083146,93520,0.898729555,1974,0.03458183,0,0
11,86000US90012,90012,34.0653,-118.2439,China town,30860,22407,5105,0.165424498,3481,0.112799741,91,0.002948801,13070,0.423525599,8453,0.273914452,6707,0.279435047,1,1
12,86000US90013,90013,34.0439,-118.2424,Down town,11299,9427,3160,0.279670767,3604,0.31896628,38,0.003363129,1773,0.156916541,1872,0.165678379,3705,0.36287953,1,9
13,86000US90014,90014,34.0435,-118.2519,Down town,7006,5640,3023,0.431487297,1345,0.191978304,37,0.005281188,957,0.136597202,1366,0.194975735,2673,0.408590645,1,2
14,86000US90015,90015,34.039,-118.2673,DTLA LA Live,18767,6783,2137,0.113870091,1357,0.072307774,12,0.00063942,3075,0.163851441,11984,0.638567699,3527,0.287098087,1,13
15,86000US90016,90016,34.0255,-118.352,Crenshaw,47590,22059,2560,0.053792814,16855,0.354171044,157,0.003299012,1395,0.029312881,25531,0.536478252,5978,0.189621265,1,4
16,86000US90017,90017,34.0544,-118.2673,Financial District,24336,8096,3005,0.123479619,1114,0.045775805,54,0.002218935,3661,0.150435569,16240,0.667324129,4018,0.253198059,1,30
17,86000US90018,90018,34.031,-118.3199,Jefferson,49824,21428,2146,0.043071612,15894,0.31900289,20,0.000401413,1919,0.038515575,28396,0.56992614,4685,0.146250858,1,13
18,86000US90019,90019,34.0489,-118.3404,Vineyard,67553,35679,9637,0.142658357,13656,0.202152384,96,0.001421106,10138,0.150074756,31874,0.471836928,15176,0.317416494,1,18
19,86000US90020,90020,34.0656,-118.3097,Central LA,39866,26109,4633,0.116214318,2044,0.05127176,164,0.004113781,18120,0.454522651,13757,0.345081021,10654,0.375431672,0,0
20,86000US90021,90021,34.0309,-118.238,DTLA,2970,1423,561,0.188888889,609,0.205050505,29,0.00976431,109,0.036700337,1547,0.520875421,464,0.186345382,1,2
21,86000US90022,90022,34.0238,-118.1532,East LA,68136,2037,991,0.014544441,226,0.003316896,0,0,724,0.010625807,66099,0.97010391,2630,0.064118192,0,0
22,86000US90023,90023,34.0224,-118.2,Boyle Heights,46288,1590,929,0.020069997,255,0.005508987,0,0,377,0.00814466,44698,0.965649844,1607,0.060077012,0,0
23,86000US90024,90024,34.0631,-118.4368,Westwood,50693,45346,26936,0.531355414,1020,0.020121121,28,0.000552345,15049,0.296865445,5347,0.105478074,16440,0.717747217,1,12
24,86000US90025,90025,33.7866,-118.2987,Sawtelle,46107,38454,25050,0.543301451,1077,0.023358709,0,0,10248,0.2222656,7653,0.165983473,23950,0.654908395,1,14
25,86000US90026,90026,34.0796,-118.2585,Echo Park,68520,30846,15671,0.228706947,1889,0.027568593,184,0.002685347,11820,0.172504378,37674,0.549824869,17604,0.356305787,1,12
26,86000US90027,90027,34.1221,-118.2936,Griffith,46646,36091,27635,0.592440938,1204,0.025811431,13,0.000278695,5575,0.119517215,10555,0.226278781,19302,0.505433502,1,14
27,86000US90028,90028,34.1012,-118.3257,Hollywood,30380,20449,15344,0.505069124,1957,0.06441738,237,0.007801185,2139,0.070408163,9931,0.326892693,9539,0.415660813,1,1
28,86000US90029,90029,34.0881,-118.2965,Santa Monica Bvld,40472,18021,9590,0.236953943,1213,0.029971338,12,0.000296501,6596,0.162976873,22451,0.554729195,7682,0.26854506,1,3
29,86000US90031,90031,34.081,-118.2117,Montecito Heights,39422,12667,2219,0.056288367,194,0.00492111,41,0.001040028,9738,0.247019431,26755,0.678681954,3870,0.148972207,0,0
30,86000US90032,90032,34.0795,-118.1766,Montecito Heights,47099,9139,3594,0.076307353,787,0.016709484,45,0.000955434,4424,0.093929807,37960,0.80596191,4476,0.148640122,0,0
31,86000US90033,90033,34.0503,-118.2117,Aliso Village,48277,4217,1183,0.024504422,536,0.011102595,72,0.001491393,2332,0.048304576,44060,0.912649916,2287,0.082545297,1,7
32,86000US90034,90034,34.0325,-118.3959,Palms,58069,41328,22828,0.393118531,4860,0.083693537,84,0.001446555,10515,0.181077683,16741,0.288294959,22522,0.518414511,1,20
33,86000US90035,90035,34.0508,-118.3842,Pico Robertson,30852,27646,21246,0.688642552,2478,0.080318942,77,0.002495786,2488,0.08064307,3206,0.103915467,13830,0.604960413,1,14
34,86000US90036,90036,34.0665,-118.352,LA brea,37640,34137,23985,0.637221041,1325,0.035201913,83,0.002205101,6889,0.183023379,3503,0.093065887,18774,0.652781641,1,9
35,86000US90037,90037,34.0021,-118.2819,Vermont,62872,14922,994,0.015809899,12598,0.200375366,36,0.000572592,544,0.0086525,47950,0.762660644,2341,0.064371546,0,0
36,86000US90038,90038,34.0895,-118.3316,Hollywood,28577,12376,8598,0.30087133,1491,0.052174826,9,0.000314939,1475,0.051614935,16201,0.56692445,5918,0.300406091,1,2
37,86000US90039,90039,34.1103,-118.2585,Atwater Village,28149,17463,10773,0.382713418,672,0.023872962,0,0,5037,0.178940637,10686,0.379622722,10022,0.458337144,1,8
38,86000US90040,90040,33.993,-118.1532,East LA,12699,756,248,0.019529097,130,0.010237027,59,0.004646035,229,0.018032916,11943,0.940467753,617,0.075807839,1,5
39,86000US90041,90041,34.1322,-118.2117,Eagle Rock,28796,17343,8595,0.298478955,346,0.012015558,9,0.000312543,7640,0.265314627,11453,0.397728851,8588,0.424706988,1,4
40,86000US90042,90042,34.1176,118.1883,Highland Park,62650,19346,8921,0.142394254,1643,0.02622506,101,0.001612131,7442,0.118786911,43304,0.691205108,11017,0.259834906,1,3
41,86000US90043,90043,33.9904,-118.3287,Windsor Hills,43129,30030,1598,0.037051636,26237,0.608337777,79,0.001831714,568,0.013169793,13099,0.303716757,6818,0.22677532,1,1
42,86000US90044,90044,33.9479,-118.2936,Harbor Gateway,88975,34340,960,0.010789548,31749,0.35683057,23,0.0002585,385,0.004327058,54635,0.61404889,4072,0.078009157,0,0
43,86000US90045,90045,33.9516,-118.3876,Westchester,41922,34309,20329,0.484924383,5738,0.136873241,110,0.002623921,5725,0.136563141,7613,0.18159916,14972,0.545646707,1,NA
44,86000US90046,90046,34.1147,-118.3637,West Hollywood,51651,45508,38053,0.736733074,2121,0.041064065,67,0.001297168,2880,0.055758843,6143,0.118932838,26566,0.60314217,1,NA
45,86000US90047,90047,33.9519,-118.3082,Westmont,48678,33541,601,0.01234644,31636,0.649903447,19,0.00039032,243,0.004991988,15137,0.310961831,4622,0.146856035,0,0
46,86000US90048,90048,34.0742,-118.3725,Beverly Grove,22498,20830,17118,0.760867633,566,0.025157792,61,0.002711352,2219,0.098630989,1668,0.074139924,12208,0.662757872,1,1
47,86000US90049,90049,34.0963,-118.4981,Brentwood,35427,33197,28196,0.79589014,492,0.013887713,17,0.00047986,3222,0.090947582,2230,0.06294634,21128,0.781765707,1,1
48,86000US90056,90056,33.9886,-118.3666,Ladera Heights,8537,8177,983,0.115145836,6436,0.753894811,0,0,361,0.042286518,360,0.04216938,3232,0.515799553,0,0
49,86000US90057,90057,34.0617,-118.279,Westlake,46509,14924,2480,0.053323013,2252,0.048420736,35,0.000752543,9817,0.211077426,31585,0.67911587,5677,0.180382562,1,1
50,86000US90058,90058,34.0064,-118.2234,vernon,2680,509,73,0.027238806,218,0.081343284,0,0,218,0.081343284,2171,0.810074627,109,0.078080229,0,0
51,86000US90059,90059,33.9288,-118.2468,Imperial Courts,44648,15226,431,0.009653288,14045,0.314571761,19,0.000425551,291,0.006517649,29422,0.658976886,1466,0.063372671,0,0
52,86000US90061,90061,33.9196,-118.2731,Athens,28135,10036,269,0.009561045,9502,0.337728808,18,0.000639773,62,0.002203661,18099,0.643291274,1246,0.079815515,0,0
53,86000US90062,90062,34.0032,-118.3082,Vernon,33353,12754,321,0.009624322,11041,0.33103469,0,0,407,0.0122028,20599,0.617605613,1679,0.079505635,0,0
54,86000US90063,90063,34.044,-118.1854,City Terrace,53813,1681,639,0.011874454,172,0.003196254,14,0.00026016,575,0.01068515,52132,0.968762195,2001,0.063152911,0,0
55,86000US90064,90064,34.0387,-118.4222,Cheviot Hills,26384,22910,16194,0.613781079,827,0.031344754,10,0.000379018,4827,0.182951789,3474,0.13167071,12369,0.647489923,1,1
56,86000US90065,90065,34.1089,-118.2234,Northeast LA,46904,17897,8700,0.185485246,793,0.016906874,9,0.000191881,7385,0.157449258,29007,0.618433396,9494,0.291925466,0,0
57,86000US90066,90066,34.005,-118.4338,Mar Vista,59124,40772,27026,0.457107097,2481,0.041962655,145,0.002452473,8372,0.141600704,18352,0.310398485,22010,0.500693828,1,1
58,86000US90067,90067,34.0571,-118.4148,Santa Monica Bvld,2330,2314,1770,0.759656652,0,0,0,0,488,0.20944206,16,0.006866953,1226,0.607231303,1,1
59,86000US90068,90068,34.1235,-118.3287,Hollywood Sign,21233,19136,15576,0.733575095,961,0.045259737,53,0.002496115,1487,0.070032497,2097,0.098761362,11807,0.665971008,1,1
60,86000US90069,90069,34.0932,-118.3783,Sunset Strip,20132,17324,14420,0.716272601,860,0.042718061,22,0.001092788,1033,0.051311345,2808,0.139479436,11746,0.644923955,1,1
62,86000US90073,90073,34.0523,-118.4521,Greater LA,862,712,267,0.30974478,350,0.406032483,0,0,65,0.075406032,150,0.174013921,50,0.060168472,0,0
63,86000US90077,90077,34.1015,-118.4572,Bel Air,8844,8271,7009,0.792514699,212,0.023971054,0,0,757,0.085594754,573,0.064789688,4762,0.757074722,0,0
65,86000US90089,90089,34.022,-118.2892,USC,3334,3007,1495,0.448410318,129,0.038692262,6,0.00179964,1130,0.338932214,327,0.098080384,31,0.58490566,1,1
67,86000US90094,90094,33.9745,-118.4178,Alsace,6858,6194,2970,0.433070866,970,0.141440653,0,0,1969,0.287109945,664,0.096821231,3852,0.799501868,0,0
